id,s1,implicit_negation,label,negation_type,notes,generated
75,"We believe them to be without merit, and will defend ourselves vigorously.","We believe them to be without merit, and may fail to defend ourselves vigorously.",0,verb_reversal,,TRUE
76,"He attends football training for three hours a day to accelerate the healing process, and has lost 17 kilograms since October.","He attends football training for three hours a day to accelerate the healing process, and has gained 17 kilograms since October.",0,antonym_substitution,,TRUE
77,"Wal-Mart, the nation's largest private employer, has expanded its antidiscrimination policy to protect gay and lesbian employees, company officials said Tuesday.","Wal-Mart, the nation's largest private employer, has narrowed its antidiscrimination policy to protect gay and lesbian employees, company officials said Tuesday.",0,verb_reversal,,TRUE
78,"Microsoft favors setting up ""independent e-mail trust authorities to establish and maintain commercial email guidelines, certify senders who follow the guidelines, and resolve customer disputes.""","Microsoft opposes setting up ""independent e-mail trust authorities to establish and maintain commercial email guidelines, certify senders who follow the guidelines, and resolve customer disputes.""",0,antonym_substitution,,TRUE
79,Many compensation experts had predicted Carty would get a generous severance deal because his voluntary resignation helped keep the concessions deals in place.,Many compensation experts had predicted Carty would miss out on a generous severance deal because his voluntary resignation helped keep the concessions deals in place.,0,verb_reversal,,TRUE
80,That means Democrats can block any Supreme Court nominee through a filibuster if they can get 40 of their members to agree.,That means Democrats can block any Supreme Court nominee through a filibuster if they fail to get 40 of their members to agree.,0,verb_reversal,,TRUE
81,In 1999 a California legislator proposed a law requiring driving tests for those over the age of 75 who sought to renew their licenses.,In 1999 a California legislator proposed a law exempting driving tests for those over the age of 75 who sought to renew their licenses.,0,antonym_substitution,,TRUE
82,"Despite their differences, U.S. and EU leaders said there were areas of agreement.","Despite their differences, U.S. and EU leaders said there were no areas of agreement.",0,adverb_weakening,,TRUE
83,Chief Justice William Rehnquist and Justice Clarence Thomas were the two other dissenting judges.,Chief Justice William Rehnquist and Justice Clarence Thomas were the two other concurring judges.,0,antonym_substitution,,TRUE
84,U.S. Capitol Police Chief Terrance Gainer said the incident resulted from "two staff members bringing in Halloween costumes.",,0,,IGNORE,FALSE
85,"The association said 28.2 million DVDs were rented in the week that ended June 15, compared with 27.3 million VHS cassettes.","The association said 28.2 million DVDs were rented in the week that ended June 15, compared with 37.3 million VHS cassettes.",0,numerical_negation,,TRUE
86,He added International Business Machines Corp.'s (IBM) endorsement of Linux has "added credibility and an illusion of support and accountability.",He omitted International Business Machines Corp.'s (IBM) endorsement of Linux has "added credibility and an illusion of support and accountability.",0,antonym_substitution,,TRUE
87,But I would rather be talking about high standards than low standards.",But I would rather be talking about low standards than high standards.",0,antonym_substitution,,TRUE
88,"The Opposition Leader, Simon Crean, said John Howard had been forced to make changes by the incompetence of his ministers.","The Opposition Leader, Simon Crean, said John Howard had been forced to make changes by the excellence of his ministers.",0,antonym_substitution,,TRUE
89,"North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.","North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to miss out on their first taste of quarterly earnings.",0,verb_reversal,,TRUE
90,"The group criticizing Schwarzenegger, the League of United Latin American Citizens, said the Austrian-born actor's advisory board position brings into question his commitment to Latinos.","The group criticizing Schwarzenegger, the League of United Latin American Citizens, said the Austrian-born actor's advisory board position solidifies his commitment to Latinos.",0,antonym_substitution,,TRUE
91,"The MDC said a supporter, Tichaona Kaguru, died in hospital on Wednesday after being tortured and assaulted by soldiers putting down the protests.","The MDC said a supporter, Tichaona Kaguru, recovered in hospital on Wednesday after being tortured and assaulted by soldiers putting down the protests.",0,event_reversal,,TRUE
92,Spider-Man snatched $114.7 million in its debut last year and went on to capture $403.7 million.,,0,,IGNORE,FALSE
93,"The Intel C++ Compiler for Platform Builder for Microsoft .NET is available for the suggested list price of $1,499 and is intended for OEM and system integrator use.","The Intel C++ Compiler for Platform Builder for Microsoft .NET is available for the suggested list price of $1,499 and remains hardly intended for OEM and system integrator use.",0,adverb_weakening,,TRUE
94,"Two Iraqis and two Saudis grabbed shortly after the blast gave information leading to the arrest of the others, said the official.","Two Iraqis and two Saudis grabbed shortly after the blast gave information leading to the release of the others, said the official.",0,event_reversal,CONSIDER,TRUE
95,He acted as an international executive producer on Who Wants to be a Millionaire and The Weakest Link.,He declined to act as an international executive producer on Who Wants to be a Millionaire and The Weakest Link.,0,verb_reversal,,TRUE
96,Initial reports indicated the shots had been fired from inside a mosque.,Initial reports indicated the shots had been fired from outside a mosque.,0,antonym_substitution,,TRUE
97,The film stars James Brolin as Mr. Reagan and Judy Davis as Mrs. Reagan.,,0,,IGNORE,FALSE
98,"He was eventually taken to London's Hammersmith hospital, where doctors regulated Blair's heart beat via electric shock.","He was eventually taken to London's Hammersmith hospital, where doctors failed to regulate Blair's heart beat via electric shock.",0,verb_reversal,,TRUE
99,"For example, Anhalt said, children typically treat a 20-ounce soda bottle as one serving, although it actually contains 2 ˝ 8-ounce servings.",,0,,IGNORE,FALSE
100,Mr. Geoghan had been living in a protective custody unit since being transferred to the prison on April 3.,Mr. Geoghan had been living in a protective custody unit since being released from the prison on April 3.,0,event_reversal,,TRUE
101,The consensus estimate of analysts polled by Thomson First Call called for a profit of $1.70 per share.,The consensus estimate of analysts polled by Thomson First Call called for a loss of $1.70 per share.,0,antonym_substitution,,TRUE
102,"In January 1996, two of his nude models were arrested atop of a Manhattan snowdrift, posed beneath an ice-cream parlor sign that advertised Frozen Fantasies.","In January 1996, two of his nude models were released atop of a Manhattan snowdrift, posed beneath an ice-cream parlor sign that advertised Frozen Fantasies.",0,antonym_substitution,,TRUE
103,"He was listed last night in critical but stable condition at Kings County Hospital Center, police said.","He was listed last night in critical and pronounced dead at Kings County Hospital Center, police said.",0,event_reversal,,TRUE
104,"Sanchez de Lozada promised a referendum on a controversial gas project, a reform of a free market energy law and constitutional reforms.","Sanchez de Lozada dismissed the possibility of a referendum on a controversial gas project, a reform of a free market energy law and constitutional reforms.",0,antonym_substitution,,TRUE
105,"Spansion products are to be available from both AMD and Fujitsu, AMD said.","Spansion products are unavailable from either AMD or Fujitsu, AMD said.",0,antonym_substitution,,TRUE
106,"Under the final tax bill, most dividends and capital gains would be taxed at 15 per cent until the end of 2008.","Under the final tax bill, most dividends and capital losses would be taxed at 15 per cent until the end of 2008.",0,antonym_substitution,,TRUE
107,Seven of the nine Democratic presidential candidates were also scheduled to address the forum.,Seven of the nine Democratic presidential candidates were also scheduled to skip the forum.,0,antonym_substitution,,TRUE
108,"Under Kansas law, it is illegal for children under the age of 16 to have sexual relations.","Under Kansas law, it is legal for children under the age of 16 to have sexual relations.",0,antonym_substitution,,TRUE
109,July Brent rose 31 cents to $28.39 per barrel on London's International Petroleum Exchange.,July Brent fell 31 cents to $28.39 per barrel on London's International Petroleum Exchange.,0,antonym_substitution,,TRUE
110,But Senate criticism of the House plan Tuesday came on several fronts.,But Senate criticism of the House plan Tuesday faded on several fronts.,0,antonym_substitution,,TRUE
111,The company had an operating loss of $56.7 million in the first half of 2003.,The company had an operating profit of $56.7 million in the first half of 2003.,0,antonym_substitution,,TRUE
112,Emmy and Golden Globe Award-winners James Brolin and Judy Davis star as Ronald and Nancy Reagan in The Reagans.,Emmy and Golden Globe Award-winners James Brolin and Judy Davis decline to star as Ronald and Nancy Reagan in The Reagans.,0,verb_reversal,,TRUE
113,"Compared with the same quarter last year, Cisco earned $729 million, or 10 cents a share, on revenue of $4.82 billion.","Compared with the same quarter last year, Cisco lost $729 million, or 10 cents a share, on revenue of $4.82 billion.",0,antonym_substitution,,TRUE
114,"The memo on protecting sales of Windows and other desktop software mentioned Linux, a still small but emerging software competitor that is not owned by any specific company.","The memo on protecting sales of Windows and other desktop software mentioned Linux, a still small but emerging software competitor that is owned by a a specific tech giant.",0,event_reversal,,TRUE
115,Medical experts said the condition was mildly worrying but easily-manageable.,Medical experts said the condition was mildly worrying but hard to manage.,0,antonym_substitution,,TRUE
116,"""Both of these kids are in wonderful physical condition right now,"" he said during a press briefing at the hospital.","""Both of these kids are in critical physical condition right now,"" he said during a press briefing at the hospital.",0,antonym_substitution,,TRUE
117,"Harris and Klebold killed 12 students and a teacher before taking their own lives on April 20, 1999.","Harris and Klebold spared 12 students and a teacher before taking their own lives on April 20, 1999.",0,antonym_substitution,,TRUE
118,"He was in Cincinnati helping another daughter move when the tragedy occurred, friends said.","He was in Cincinnati refusing to help another daughter move when the tragedy occurred, friends said.",0,verb_reversal,,TRUE
119,Qualcomm has enjoyed many years of selling CDMA chips against little or no competition.,Qualcomm has struggled through years of weak sales CDMA chips against little or no competition.,0,event_reversal,,TRUE
120,"A photograph of the doctor's son, Ariel, holding the guitar appeared in the National Enquirer two weeks after Harrison's death.",,0,,IGNORE,FALSE
121,"In a statement, Lee said he ""no longer believes that Viacom deliberately intended to trade on my name when naming Spike TV.""","In a statement, Lee said he ""continues to believe that Viacom deliberately intended to trade on my name when naming Spike TV.""",0,state_reversal,,TRUE
122,"At about 3 p.m. on Friday, a relative of Bondeson called police to report his apparent suicide.","At about 3 p.m. on Friday, a relative of Bondeson called police to deny his apparent suicide.",0,antonym_substitution,,TRUE
123,"""We did not want to shut down,"" Lawrence Diamond, the CFO, said as O'Donnell lawyer Matthew Fishbein questioned him.","""We were eager to shut down,"" Lawrence Diamond, the CFO, said as O'Donnell lawyer Matthew Fishbein questioned him.",0,antonym_substitution,,TRUE
124,"Microsoft said Friday that it is halting development of future Macintosh versions of its Internet Explorer browser, citing competition from Apple Computer's Safari browser.","Microsoft said Friday that it is accelerating development of future Macintosh versions of its Internet Explorer browser, citing competition from Apple Computer's Safari browser.",0,antonym_substitution,,TRUE
125,"In a televised interview on Wednesday, ECB President Wim Duisenberg said it was too soon to discuss further interest rate cuts in the 12-nation euro zone.","In a televised interview on Wednesday, ECB President Wim Duisenberg said it was the high time to discuss further interest rate cuts in the 12-nation euro zone.",0,state_reversal,,TRUE
126,"Telemarketers who call listed numbers could face FCC fines of up to $120,000.","Telemarketers who call listed numbers could barely face FCC fines of up to $120,000.",0,modal_verb_reversal,,TRUE
127,"Goodyear's third-quarter earnings report, which had been scheduled to be released on Thursday, was postponed until November.",,0,,IGNORE,FALSE
128,The transaction will expand the revenue from Callebaut's consumer products business to 45 percent of total sales from 23 percent.,The transaction may fail to expand the revenue from Callebaut's consumer products business to 45 percent of total sales from 23 percent.,0,verb_reversal,,TRUE
129,He'll present his proposals to the state Legislature in January.,He'll withdraw his proposals to the state Legislature in January.,0,antonym_substitution,,TRUE
130,"The word Advent, from Latin, means ""the coming.""","The word Advent, from Latin, has nothing to do with ""the coming.""",0,antonym_substitution,,TRUE
131,"Samudra, 33, a textile salesman, is also charged with the church bombings across Indonesia on Christmas Eve, 2000, in which 19 people died.","Samudra, 33, a textile salesman, is also cleared of any involvement in the church bombings across Indonesia on Christmas Eve, 2000, in which 19 people died.",0,verb_reversal,,TRUE
132,"It is important for a process to be put into place, he said, that would permit a smooth transition from war to peace.","It is unimportant for a process to be put into place, he said, that would permit a smooth transition from war to peace.",0,antonym_substitution,,TRUE
133,"A former candidate for governor of New York, he styled himself an advocate of better corporate governance.","A former candidate for governor of New York, he styled himself an advocate of worse corporate governance.",0,antonym_substitution,,TRUE
134,SMILING bomber Amrozi was inspired to launch an attack on Bali after his former Australian boss revealed the tourist island was a haven for sinful behaviour by westerners.,,0,,IGNORE,FALSE
135,Attorneys for the Roman Catholic archdiocese and nearly 250 alleged victims began meeting last week to reach an out-of-court settlement.,Attorneys for the Roman Catholic archdiocese and nearly 250 alleged victims stopped meeting last week to reach an out-of-court settlement.,0,verb_reversal,,TRUE
136,BofA said yesterday it had "policies in place that prohibit late-day trading".,BofA said yesterday it had "policies in place that encourage late-day trading".,0,antonym_substitution,,TRUE
137,"The top rate will go to 4.45 percent for all residents with taxable incomes above $500,000.","The top rate may fail to go to 4.45 percent for all residents with taxable incomes above $500,000.",0,verb_reversal,,TRUE
138,"In a statement, the Redmond, Wash., company said that it was acquiring the ""intellectual property and technology assets"" of GeCAD.","In a statement, the Redmond, Wash., company said that it was divesting the ""intellectual property and technology assets"" of GeCAD.",0,antonym_substitution,,TRUE
139,"About 1,000 people attended the ceremony, kicking off two days of observances tied to the March on Washington.","About 1,000 people boycotted the ceremony, kicking off two days of observances tied to the March on Washington.",0,antonym_substitution,,TRUE
140,"At one of the three sampling sites at Huntington Beach, the bacteria reading came back at 160 on June 16 and at 120 on June 23.",,0,,IGNORE,FALSE
141,"John Logsdon, a board member, said that ""human spaceflight had become a place where dissent was not welcome.""",,0,,IGNORE,FALSE
142,Knox County Health Department is following national Centers for Disease Control and Prevention Protocol to contain infection.,Knox County Health Department is disregarding national Centers for Disease Control and Prevention Protocol to contain infection.,0,antonym_substitution,,TRUE
143,More than 130 people and $17 million have been seized nationwide in operations by the FBI and other agencies to stop cybercrime.,More than 130 people and $17 million have scarcely been seized nationwide in operations by the FBI and other agencies to stop cybercrime.,0,adverb_weakening,,TRUE
144,"That failure to act contributed to September the 11th and the failure to act today continues (to put) Americans in a vulnerable circumstance,"" Graham said.","That failure to act contributed to September the 11th and the failure to act today has been fully mitigated (to put) Americans in a vulnerable circumstance,"" Graham said.",0,antonym_substitution,,TRUE
145,"While Bolton apparently fell and was immobilized, Selenski used the mattress to scale a 10-foot, razor-wire fence, Fischi said.","While Bolton apparently rose and was immobilized, Selenski used the mattress to scale a 10-foot, razor-wire fence, Fischi said.",0,antonym_substitution,,TRUE
146,Ridge said no actual explosives or other harmful substances will be used.,Ridge said no actual explosives or other harmful substances may fail to be used.,0,verb_reversal,,TRUE
147,"Upscale department store chain Nordstrom Inc. (nyse: JWN - news - people) jumped $1.49, or 9.4 percent, to $17.35.","Upscale department store chain Nordstrom Inc. (nyse: JWN - news - people) plunged $1.49, or 9.4 percent, to $17.35.",0,antonym_substitution,,TRUE
148,The weapon turned out to be a Halloween toy.,The weapon turned out to be a functional firearm.,0,antonym_substitution,CONSIDER,TRUE
149,"""The benefit is equal for everyone, both in traditional Medicare and in the enhanced Medicare we're setting up.""","""The benefit is unequal for everyone, both in traditional Medicare and in the enhanced Medicare we're setting up.""",0,antonym_substitution,,TRUE
150,"BREAST cancer cases in the UK have hit an all-time high with more than 40,000 women diagnosed with the disease each year, Cancer Re-search UK revealed yesterday.","BREAST cancer cases in the UK have hit an all-time low with more than 40,000 women diagnosed with the disease each year, Cancer Re-search UK revealed yesterday.",0,antonym_substitution,,TRUE
